index,date,link,price,name,delivery,store
0,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/zero-appliances-im12-bullet-ice-maker---black/p/3eea3b22-2cb1-43b4-9b07-cd8bcee36580,239900, ZERO APPLIANCES IM12 BULLET ICE MAKER - BLACK,1,0
1,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/swan-12-kg-ice-maker-/p/000000000000386075_EA,199900, Swan 12 kg Ice Maker ,1,0
2,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/zero-appliances-im12-bullet-ice-maker---white/p/fcfe1f17-5364-4703-853b-a51be3190fa8,239900, ZERO APPLIANCES IM12 BULLET ICE MAKER - WHITE,1,0
3,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/zero-appliances-im12-bullet-ice-maker---silver/p/39a88b67-957e-405e-92d5-a37e30b5ec81,239900, ZERO APPLIANCES IM12 BULLET ICE MAKER - SILVER,1,0
4,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/ice-cube-bags---12-bags-each-bag-makes-28-cubes/p/322bf659-8bd2-42e7-be08-20817b7ba67e,3700," Ice Cube Bags - 12 Bags, Each Bag Makes 28 Cubes",1,0
5,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/snomaster-50-kg-plumbed-in-ice-maker-/p/000000000000278450_EA,1999900, Snomaster 50 kg Plumbed-In Ice Maker ,1,0
6,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/snomaster-80-kg-gourmet-ice-maker-/p/000000000000366488_EA,2999900, Snomaster 80 kg Gourmet Ice Maker ,1,0
7,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/snomaster-250-kg-plumbed-in-commercial-ice-maker-/p/000000000000326617_EA,6499900, Snomaster 250 kg Plumbed-In Commercial Ice Maker ,1,0
8,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/snomaster-450-kg-plumbed-in-commercial-ice-maker-/p/000000000000326618_EA,7999900, Snomaster 450 kg Plumbed-In Commercial Ice Maker ,1,0
9,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/snomaster-20kg-ice-maker-/p/000000000000329151_EA,499900, Snomaster 20kg Ice Maker ,1,0
10,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/ice-crusher/p/466ea625-89d9-4649-be65-89bd7a7a69d6,70000, Ice Crusher,1,0
11,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/ice-lolly-maker---6-piece-large/p/87ac4a01-3975-4eb3-a25c-7fb180c38ce6,8700," Ice Lolly Maker - 6-Piece, Large",1,0
12,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/ice-lolly-maker---makes-6-lollies/p/72d7750c-6e0f-4763-9a50-668a04dce86b,5700, Ice Lolly Maker - Makes 6 Lollies,1,0
13,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/snomaster-26kg-gourmet-ice-maker-/p/000000000000322511_EA,1549900, Snomaster 26kg Gourmet Ice Maker ,1,0
14,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/russell-hobbs-2-in-1-ice-crusher-and-frozen-drinks-maker-/p/000000000000372489_EA,64900, Russell Hobbs 2-in-1 Ice Crusher and Frozen Drinks Maker ,1,0
15,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/snomaster-150-kg-plumbed-in-commercial-ice-maker-/p/000000000000326616_EA,5499900, Snomaster 150 kg Plumbed-In Commercial Ice Maker ,1,0
16,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/milex-nordic-ice-machine/p/4a899b31-5675-4dd9-bf70-8542bd7c8ca1,439995, Milex Nordic Ice Machine,1,0
17,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/12kg-counter-top-ice-maker---silver/p/721e2a9a-bdaf-4e83-b4d3-e7f528f9253f,369900, 12KG Counter-Top Ice Maker - Silver,1,0
18,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/snomaster-15kg-ice-maker-/p/000000000000305675_EA,449900, Snomaster 15kg Ice Maker ,1,0
19,2022-08-03,www.makro.co.za/appliances/water-purification-soda-machines/ice-makers/ice-makers/snomaster-26-kg-semi-commercial-plumbed-in-ice-maker-/p/000000000000278448_EA,1149900, Snomaster 26 kg Semi-Commercial Plumbed-In Ice Maker ,1,0
0,2022-08-03,www.makro.co.za/appliances/fans-heaters-air-coolers/air-conditioners-purifiers/fixed-air-conditioners/samsung-24000-btu-inverter-aircon-/p/000000000000396120_EA,2399900, Samsung 24000 BTU Inverter Aircon ,1,0
1,2022-08-03,www.makro.co.za/appliances/fans-heaters-air-coolers/air-conditioners-purifiers/fixed-air-conditioners/defy-12000-btu-inverter-air-conditioner-/p/000000000000397844_EA,999900, Defy 12000 BTU Inverter Air Conditioner ,1,0
2,2022-08-03,www.makro.co.za/appliances/fans-heaters-air-coolers/air-conditioners-purifiers/fixed-air-conditioners/samsung-12000-btu-split-unit-air-conditioner-/p/000000000000345498_EA,569900, Samsung 12000 BTU Split Unit Air Conditioner ,1,0
3,2022-08-03,www.makro.co.za/appliances/fans-heaters-air-coolers/air-conditioners-purifiers/fixed-air-conditioners/samsung-12000-btu-ar3000-non-inverter-air-conditioner-/p/000000000000397126_EA,930000, Samsung 12000 BTU AR3000 Non-Inverter Air Conditioner ,1,0
4,2022-08-03,www.makro.co.za/appliances/fans-heaters-air-coolers/air-conditioners-purifiers/air-coolers/milex-15-l-air-cooler-/p/000000000000385492_EA,329900, Milex 15 l Air Cooler ,1,0
